state,median_age,growth_rate_pct,elderly_pct,total_k,year
Johor,30.95,0.96,7.76,4205.8,2025
Kedah,29.74,0.89,9.4,2228.0,2025
Kelantan,26.16,1.25,7.41,1907.6,2025
Kuala Lumpur,36.08,0.91,7.12,2073.9,2025
Labuan,29.56,1.21,5.45,100.9,2025
Malacca,30.82,1.06,7.26,1052.7,2025
Negeri Sembilan,31.3,0.73,8.09,1244.6,2025
Pahang,30.03,1.07,7.12,1678.1,2025
Penang,33.6,0.71,8.42,1803.2,2025
Perak,32.12,0.62,10.34,2574.9,2025
Perlis,30.07,0.9,8.56,297.8,2025
Putrajaya,27.56,2.01,2.07,120.6,2025
Sabah,27.65,1.92,6.38,3759.6,2025
Sarawak,32.85,0.61,9.16,2530.0,2025
Selangor,33.76,1.15,8.41,7406.8,2025
Terengganu,27.43,1.64,6.33,1247.1,2025
