country,year,rate,is_focus
Indonesia,2000,25.9,false
Indonesia,2001,25.9,false
Indonesia,2002,26.0,false
Indonesia,2003,26.2,false
Indonesia,2004,26.3,false
Indonesia,2005,26.3,false
Indonesia,2006,26.2,false
Indonesia,2007,26.2,false
Indonesia,2008,26.2,false
Indonesia,2009,26.1,false
Indonesia,2010,26.0,false
Indonesia,2011,25.7,false
Indonesia,2012,25.5,false
Indonesia,2013,25.3,false
Indonesia,2014,25.1,false
Indonesia,2015,25.0,false
Indonesia,2016,24.7,false
Indonesia,2017,24.5,false
Indonesia,2018,24.3,false
Indonesia,2019,24.2,false
Indonesia,2020,23.8,false
Indonesia,2021,21.9,false
Malaysia,2000,22.3,true
Malaysia,2001,21.3,true
Malaysia,2002,20.9,true
Malaysia,2003,21.1,true
Malaysia,2004,20.6,true
Malaysia,2005,20.0,true
Malaysia,2006,19.6,true
Malaysia,2007,19.3,true
Malaysia,2008,19.5,true
Malaysia,2009,19.4,true
Malaysia,2010,19.2,true
Malaysia,2011,19.0,true
Malaysia,2012,18.3,true
Malaysia,2013,17.9,true
Malaysia,2014,18.1,true
Malaysia,2015,19.4,true
Malaysia,2016,19.6,true
Malaysia,2017,19.8,true
Malaysia,2018,19.9,true
Malaysia,2019,19.7,true
Malaysia,2020,17.4,true
Malaysia,2021,19.9,true
Philippines,2000,21.2,false
Philippines,2001,22.2,false
Philippines,2002,22.7,false
Philippines,2003,22.8,false
Philippines,2004,23.3,false
Philippines,2005,23.6,false
Philippines,2006,24.6,false
Philippines,2007,24.6,false
Philippines,2008,24.7,false
Philippines,2009,25.2,false
Philippines,2010,25.0,false
Philippines,2011,25.0,false
Philippines,2012,25.2,false
Philippines,2013,25.0,false
Philippines,2014,25.5,false
Philippines,2015,25.3,false
Philippines,2016,26.1,false
Philippines,2017,24.9,false
Philippines,2018,25.0,false
Philippines,2019,25.3,false
Philippines,2020,24.9,false
Philippines,2021,31.9,false
Singapore,2000,16.5,false
Singapore,2001,16.1,false
Singapore,2002,15.3,false
Singapore,2003,14.2,false
Singapore,2004,13.5,false
Singapore,2005,13.1,false
Singapore,2006,12.5,false
Singapore,2007,12.5,false
Singapore,2008,12.4,false
Singapore,2009,11.3,false
Singapore,2010,11.0,false
Singapore,2011,10.9,false
Singapore,2012,10.7,false
Singapore,2013,10.2,false
Singapore,2014,9.8,false
Singapore,2015,9.8,false
Singapore,2016,9.6,false
Singapore,2017,9.4,false
Singapore,2018,9.0,false
Singapore,2019,8.6,false
Singapore,2020,8.9,false
Singapore,2021,10.3,false
Thailand,2000,18.3,false
Thailand,2001,17.7,false
Thailand,2002,18.1,false
Thailand,2003,17.9,false
Thailand,2004,17.9,false
Thailand,2005,17.4,false
Thailand,2006,17.0,false
Thailand,2007,16.3,false
Thailand,2008,15.8,false
Thailand,2009,15.2,false
Thailand,2010,15.1,false
Thailand,2011,14.7,false
Thailand,2012,14.2,false
Thailand,2013,13.9,false
Thailand,2014,13.9,false
Thailand,2015,13.9,false
Thailand,2016,14.1,false
Thailand,2017,13.9,false
Thailand,2018,14.0,false
Thailand,2019,14.3,false
Thailand,2020,14.2,false
Thailand,2021,14.5,false
Vietnam,2000,20.1,false
Vietnam,2001,20.3,false
Vietnam,2002,20.3,false
Vietnam,2003,20.4,false
Vietnam,2004,20.7,false
Vietnam,2005,20.8,false
Vietnam,2006,20.9,false
Vietnam,2007,21.2,false
Vietnam,2008,21.4,false
Vietnam,2009,21.5,false
Vietnam,2010,21.7,false
Vietnam,2011,21.6,false
Vietnam,2012,21.5,false
Vietnam,2013,21.5,false
Vietnam,2014,21.5,false
Vietnam,2015,21.6,false
Vietnam,2016,21.4,false
Vietnam,2017,21.1,false
Vietnam,2018,20.9,false
Vietnam,2019,20.8,false
Vietnam,2020,19.3,false
Vietnam,2021,20.1,false
