age,age_order,sex,population,signed_pop,year
0-4,0,Male,1192.5,-1192.5,2025
0-4,0,Female,1114.1,1114.1,2025
5-9,1,Male,0.0,-0.0,2025
5-9,1,Female,0.0,0.0,2025
10-14,2,Male,0.0,-0.0,2025
10-14,2,Female,0.0,0.0,2025
15-19,3,Male,1416.0,-1416.0,2025
15-19,3,Female,1289.1,1289.1,2025
20-24,4,Male,1730.7,-1730.7,2025
20-24,4,Female,1425.1,1425.1,2025
25-29,5,Male,1731.5,-1731.5,2025
25-29,5,Female,1355.0,1355.0,2025
30-34,6,Male,1593.8,-1593.8,2025
30-34,6,Female,1295.6,1295.6,2025
35-39,7,Male,1516.8,-1516.8,2025
35-39,7,Female,1332.5,1332.5,2025
40-44,8,Male,1400.1,-1400.1,2025
40-44,8,Female,1260.6,1260.6,2025
45-49,9,Male,1100.2,-1100.2,2025
45-49,9,Female,1004.6,1004.6,2025
50-54,10,Male,897.6,-897.6,2025
50-54,10,Female,861.9,861.9,2025
55-59,11,Male,750.9,-750.9,2025
55-59,11,Female,754.9,754.9,2025
60-64,12,Male,684.3,-684.3,2025
60-64,12,Female,682.0,682.0,2025
65-69,13,Male,531.6,-531.6,2025
65-69,13,Female,558.8,558.8,2025
70-74,14,Male,380.7,-380.7,2025
70-74,14,Female,405.4,405.4,2025
75-79,15,Male,226.3,-226.3,2025
75-79,15,Female,260.0,260.0,2025
80-84,16,Male,104.6,-104.6,2025
80-84,16,Female,124.5,124.5,2025
85+,17,Male,80.9,-80.9,2025
85+,17,Female,73.7,73.7,2025
