state,support_ratio,elderly_pct,working_k,elderly_k,year
Johor,9.2,8.94,2999.8,326.3,2025
Kedah,7.1,11.13,1491.5,209.5,2025
Kelantan,8.8,9.03,1239.5,141.4,2025
Kuala Lumpur,10.7,8.0,1577.4,147.7,2025
Labuan,12.6,6.63,69.4,5.5,2025
Malacca,9.8,8.44,746.2,76.4,2025
Negeri Sembilan,8.5,9.39,856.6,100.7,2025
Pahang,9.8,8.36,1169.0,119.4,2025
Penang,8.7,9.59,1320.5,151.9,2025
Perak,6.7,11.8,1780.6,266.3,2025
Perlis,8.4,9.81,215.0,25.5,2025
Putrajaya,31.2,2.54,77.9,2.5,2025
Sabah,11.1,7.58,2652.4,239.8,2025
Sarawak,7.8,10.46,1803.0,231.8,2025
Selangor,8.4,9.76,5259.2,623.0,2025
Terengganu,10.5,7.79,824.7,78.9,2025
